KEY;SURVEY_DATE;OFFICE_LOCATION;STATEMENT;RATING
1653;2021-04-01;2100-0001;I'm often bored at work.;1
1654;2021-04-01;2100-0001;If I could, I would like to change careers.;3
1655;2021-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;10
1656;2021-04-01;2100-0001;I can always trust the colleagues in my team.;10
1657;2021-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1658;2021-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1659;2021-04-01;2100-0001;After work, I'm exhausted in the evening.;1
1660;2021-04-01;2100-0001;I'm often working under time pressure.;3
1661;2021-04-01;2100-0001;I have a really interesting  job.;8
1662;2021-04-01;2100-0001;Most of the time I enjoy going to work.;7
1663;2021-04-01;2100-0001;I'm often bored at work.;2
1664;2021-04-01;2100-0001;If I could, I would like to change careers.;1
1665;2021-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;7
1666;2021-04-01;2100-0001;I can always trust the colleagues in my team.;9
1667;2021-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1668;2021-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1669;2021-04-01;2100-0001;After work, I'm exhausted in the evening.;3
1670;2021-04-01;2100-0001;I'm often working under time pressure.;1
1671;2021-04-01;2100-0001;I have a really interesting  job.;7
1672;2021-04-01;2100-0001;Most of the time I enjoy going to work.;7
1673;2021-04-01;2100-0001;I'm often bored at work.;3
1674;2021-04-01;2100-0001;If I could, I would like to change careers.;2
1675;2021-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;8
1676;2021-04-01;2100-0001;I can always trust the colleagues in my team.;7
1677;2021-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1678;2021-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1679;2021-04-01;2100-0001;After work, I'm exhausted in the evening.;3
1680;2021-04-01;2100-0001;I'm often working under time pressure.;2
1681;2021-07-01;2100-0001;I have a really interesting  job.;6
1682;2021-07-01;2100-0001;Most of the time I enjoy going to work.;10
1683;2021-07-01;2100-0001;I'm often bored at work.;3
1684;2021-07-01;2100-0001;If I could, I would like to change careers.;3
1685;2021-07-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1686;2021-07-01;2100-0001;I can always trust the colleagues in my team.;8
1687;2021-07-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1688;2021-07-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
1689;2021-07-01;2100-0001;After work, I'm exhausted in the evening.;1
1690;2021-07-01;2100-0001;I'm often working under time pressure.;3
1691;2021-07-01;2100-0001;I have a really interesting  job.;8
1692;2021-07-01;2100-0001;Most of the time I enjoy going to work.;6
1693;2021-07-01;2100-0001;I'm often bored at work.;1
1694;2021-07-01;2100-0001;If I could, I would like to change careers.;2
1695;2021-07-01;2100-0001;I'm satisified with the relations between colleagues in my team.;10
1696;2021-07-01;2100-0001;I can always trust the colleagues in my team.;7
1697;2021-07-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1698;2021-07-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1699;2021-07-01;2100-0001;After work, I'm exhausted in the evening.;1
1700;2021-07-01;2100-0001;I'm often working under time pressure.;2
1701;2021-07-01;2100-0001;I have a really interesting  job.;9
1702;2021-07-01;2100-0001;Most of the time I enjoy going to work.;10
1703;2021-07-01;2100-0001;I'm often bored at work.;1
1704;2021-07-01;2100-0001;If I could, I would like to change careers.;3
1705;2021-07-01;2100-0001;I'm satisified with the relations between colleagues in my team.;7
1706;2021-07-01;2100-0001;I can always trust the colleagues in my team.;9
1707;2021-07-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1708;2021-07-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
1709;2021-07-01;2100-0001;After work, I'm exhausted in the evening.;2
1710;2021-07-01;2100-0001;I'm often working under time pressure.;2
1711;2021-07-01;2100-0001;I have a really interesting  job.;7
1712;2021-07-01;2100-0001;Most of the time I enjoy going to work.;8
1713;2021-07-01;2100-0001;I'm often bored at work.;2
1714;2021-07-01;2100-0001;If I could, I would like to change careers.;2
1715;2021-07-01;2100-0001;I'm satisified with the relations between colleagues in my team.;7
1716;2021-07-01;2100-0001;I can always trust the colleagues in my team.;8
1717;2021-07-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
1718;2021-07-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1719;2021-07-01;2100-0001;After work, I'm exhausted in the evening.;3
1720;2021-07-01;2100-0001;I'm often working under time pressure.;3
1721;2021-07-01;2100-0001;I have a really interesting  job.;6
1722;2021-07-01;2100-0001;Most of the time I enjoy going to work.;8
1723;2021-07-01;2100-0001;I'm often bored at work.;2
1724;2021-07-01;2100-0001;If I could, I would like to change careers.;3
1725;2021-07-01;2100-0001;I'm satisified with the relations between colleagues in my team.;7
1726;2021-07-01;2100-0001;I can always trust the colleagues in my team.;10
1727;2021-07-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1728;2021-07-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
1729;2021-07-01;2100-0001;After work, I'm exhausted in the evening.;3
1730;2021-07-01;2100-0001;I'm often working under time pressure.;2
1731;2021-07-01;2100-0001;I have a really interesting  job.;9
1732;2021-07-01;2100-0001;Most of the time I enjoy going to work.;10
1733;2021-07-01;2100-0001;I'm often bored at work.;3
1734;2021-07-01;2100-0001;If I could, I would like to change careers.;1
1735;2021-07-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1736;2021-07-01;2100-0001;I can always trust the colleagues in my team.;9
1737;2021-07-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1738;2021-07-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
1739;2021-07-01;2100-0001;After work, I'm exhausted in the evening.;2
1740;2021-07-01;2100-0001;I'm often working under time pressure.;1
1741;2021-07-01;2100-0001;I have a really interesting  job.;7
1742;2021-07-01;2100-0001;Most of the time I enjoy going to work.;9
1743;2021-07-01;2100-0001;I'm often bored at work.;3
1744;2021-07-01;2100-0001;If I could, I would like to change careers.;2
1745;2021-07-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1746;2021-07-01;2100-0001;I can always trust the colleagues in my team.;9
1747;2021-07-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1748;2021-07-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1749;2021-07-01;2100-0001;After work, I'm exhausted in the evening.;3
1750;2021-07-01;2100-0001;I'm often working under time pressure.;3
1751;2021-07-01;2100-0001;I have a really interesting  job.;7
1752;2021-07-01;2100-0001;Most of the time I enjoy going to work.;9
1753;2021-07-01;2100-0001;I'm often bored at work.;2
1754;2021-07-01;2100-0001;If I could, I would like to change careers.;2
1755;2021-07-01;2100-0001;I'm satisified with the relations between colleagues in my team.;8
1756;2021-07-01;2100-0001;I can always trust the colleagues in my team.;9
1757;2021-07-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1758;2021-07-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1759;2021-07-01;2100-0001;After work, I'm exhausted in the evening.;2
1760;2021-07-01;2100-0001;I'm often working under time pressure.;2
1761;2021-07-01;2100-0001;I have a really interesting  job.;9
1762;2021-07-01;2100-0001;Most of the time I enjoy going to work.;8
1763;2021-07-01;2100-0001;I'm often bored at work.;3
1764;2021-07-01;2100-0001;If I could, I would like to change careers.;1
1765;2021-07-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1766;2021-07-01;2100-0001;I can always trust the colleagues in my team.;9
1767;2021-07-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
1768;2021-07-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1769;2021-07-01;2100-0001;After work, I'm exhausted in the evening.;1
1770;2021-07-01;2100-0001;I'm often working under time pressure.;3
1771;2021-10-01;2100-0001;I have a really interesting  job.;8
1772;2021-10-01;2100-0001;Most of the time I enjoy going to work.;8
1773;2021-10-01;2100-0001;I'm often bored at work.;2
1774;2021-10-01;2100-0001;If I could, I would like to change careers.;2
1775;2021-10-01;2100-0001;I'm satisified with the relations between colleagues in my team.;10
1776;2021-10-01;2100-0001;I can always trust the colleagues in my team.;6
1777;2021-10-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1778;2021-10-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1779;2021-10-01;2100-0001;After work, I'm exhausted in the evening.;3
1780;2021-10-01;2100-0001;I'm often working under time pressure.;2
1781;2021-10-01;2100-0001;I have a really interesting  job.;9
1782;2021-10-01;2100-0001;Most of the time I enjoy going to work.;7
1783;2021-10-01;2100-0001;I'm often bored at work.;1
1784;2021-10-01;2100-0001;If I could, I would like to change careers.;1
1785;2021-10-01;2100-0001;I'm satisified with the relations between colleagues in my team.;8
1786;2021-10-01;2100-0001;I can always trust the colleagues in my team.;6
1787;2021-10-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
1788;2021-10-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1789;2021-10-01;2100-0001;After work, I'm exhausted in the evening.;2
1790;2021-10-01;2100-0001;I'm often working under time pressure.;2
1791;2021-10-01;2100-0001;I have a really interesting  job.;10
1792;2021-10-01;2100-0001;Most of the time I enjoy going to work.;7
1793;2021-10-01;2100-0001;I'm often bored at work.;2
1794;2021-10-01;2100-0001;If I could, I would like to change careers.;1
1795;2021-10-01;2100-0001;I'm satisified with the relations between colleagues in my team.;9
1796;2021-10-01;2100-0001;I can always trust the colleagues in my team.;10
1797;2021-10-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
1798;2021-10-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1799;2021-10-01;2100-0001;After work, I'm exhausted in the evening.;3
1800;2021-10-01;2100-0001;I'm often working under time pressure.;3
1801;2021-10-01;2100-0001;I have a really interesting  job.;9
1802;2021-10-01;2100-0001;Most of the time I enjoy going to work.;10
1803;2021-10-01;2100-0001;I'm often bored at work.;1
1804;2021-10-01;2100-0001;If I could, I would like to change careers.;1
1805;2021-10-01;2100-0001;I'm satisified with the relations between colleagues in my team.;9
1806;2021-10-01;2100-0001;I can always trust the colleagues in my team.;9
1807;2021-10-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1808;2021-10-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
1809;2021-10-01;2100-0001;After work, I'm exhausted in the evening.;2
1810;2021-10-01;2100-0001;I'm often working under time pressure.;1
1811;2021-10-01;2100-0001;I have a really interesting  job.;7
1812;2021-10-01;2100-0001;Most of the time I enjoy going to work.;7
1813;2021-10-01;2100-0001;I'm often bored at work.;3
1814;2021-10-01;2100-0001;If I could, I would like to change careers.;3
1815;2021-10-01;2100-0001;I'm satisified with the relations between colleagues in my team.;8
1816;2021-10-01;2100-0001;I can always trust the colleagues in my team.;7
1817;2021-10-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1818;2021-10-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1819;2021-10-01;2100-0001;After work, I'm exhausted in the evening.;2
1820;2021-10-01;2100-0001;I'm often working under time pressure.;3
1821;2021-10-01;2100-0001;I have a really interesting  job.;8
1822;2021-10-01;2100-0001;Most of the time I enjoy going to work.;8
1823;2021-10-01;2100-0001;I'm often bored at work.;1
1824;2021-10-01;2100-0001;If I could, I would like to change careers.;3
1825;2021-10-01;2100-0001;I'm satisified with the relations between colleagues in my team.;10
1826;2021-10-01;2100-0001;I can always trust the colleagues in my team.;6
1827;2021-10-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
1828;2021-10-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1829;2021-10-01;2100-0001;After work, I'm exhausted in the evening.;3
1830;2021-10-01;2100-0001;I'm often working under time pressure.;1
1831;2021-10-01;2100-0001;I have a really interesting  job.;9
1832;2021-10-01;2100-0001;Most of the time I enjoy going to work.;9
1833;2021-10-01;2100-0001;I'm often bored at work.;2
1834;2021-10-01;2100-0001;If I could, I would like to change careers.;3
1835;2021-10-01;2100-0001;I'm satisified with the relations between colleagues in my team.;10
1836;2021-10-01;2100-0001;I can always trust the colleagues in my team.;7
1837;2021-10-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1838;2021-10-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1839;2021-10-01;2100-0001;After work, I'm exhausted in the evening.;1
1840;2021-10-01;2100-0001;I'm often working under time pressure.;2
1841;2021-10-01;2100-0001;I have a really interesting  job.;8
1842;2021-10-01;2100-0001;Most of the time I enjoy going to work.;7
1843;2021-10-01;2100-0001;I'm often bored at work.;2
1844;2021-10-01;2100-0001;If I could, I would like to change careers.;3
1845;2021-10-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1846;2021-10-01;2100-0001;I can always trust the colleagues in my team.;6
1847;2021-10-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
1848;2021-10-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
1849;2021-10-01;2100-0001;After work, I'm exhausted in the evening.;1
1850;2021-10-01;2100-0001;I'm often working under time pressure.;1
1851;2021-10-01;2100-0001;I have a really interesting  job.;10
1852;2021-10-01;2100-0001;Most of the time I enjoy going to work.;6
1853;2021-10-01;2100-0001;I'm often bored at work.;3
1854;2021-10-01;2100-0001;If I could, I would like to change careers.;3
1855;2021-10-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1856;2021-10-01;2100-0001;I can always trust the colleagues in my team.;8
1857;2021-10-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1858;2021-10-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
1859;2021-10-01;2100-0001;After work, I'm exhausted in the evening.;2
1860;2021-10-01;2100-0001;I'm often working under time pressure.;2
1861;2022-01-01;2100-0001;I have a really interesting  job.;10
1862;2022-01-01;2100-0001;Most of the time I enjoy going to work.;9
1863;2022-01-01;2100-0001;I'm often bored at work.;3
1864;2022-01-01;2100-0001;If I could, I would like to change careers.;3
1865;2022-01-01;2100-0001;I'm satisified with the relations between colleagues in my team.;8
1866;2022-01-01;2100-0001;I can always trust the colleagues in my team.;7
1867;2022-01-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1868;2022-01-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1869;2022-01-01;2100-0001;After work, I'm exhausted in the evening.;2
1870;2022-01-01;2100-0001;I'm often working under time pressure.;3
1871;2022-01-01;2100-0001;I have a really interesting  job.;10
1872;2022-01-01;2100-0001;Most of the time I enjoy going to work.;7
1873;2022-01-01;2100-0001;I'm often bored at work.;1
1874;2022-01-01;2100-0001;If I could, I would like to change careers.;3
1875;2022-01-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1876;2022-01-01;2100-0001;I can always trust the colleagues in my team.;6
1877;2022-01-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
1878;2022-01-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1879;2022-01-01;2100-0001;After work, I'm exhausted in the evening.;2
1880;2022-01-01;2100-0001;I'm often working under time pressure.;1
1881;2022-01-01;2100-0001;I have a really interesting  job.;10
1882;2022-01-01;2100-0001;Most of the time I enjoy going to work.;6
1883;2022-01-01;2100-0001;I'm often bored at work.;3
1884;2022-01-01;2100-0001;If I could, I would like to change careers.;2
1885;2022-01-01;2100-0001;I'm satisified with the relations between colleagues in my team.;9
1886;2022-01-01;2100-0001;I can always trust the colleagues in my team.;6
1887;2022-01-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1888;2022-01-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
1889;2022-01-01;2100-0001;After work, I'm exhausted in the evening.;1
1890;2022-01-01;2100-0001;I'm often working under time pressure.;3
1891;2022-01-01;2100-0001;I have a really interesting  job.;7
1892;2022-01-01;2100-0001;Most of the time I enjoy going to work.;10
1893;2022-01-01;2100-0001;I'm often bored at work.;1
1894;2022-01-01;2100-0001;If I could, I would like to change careers.;2
1895;2022-01-01;2100-0001;I'm satisified with the relations between colleagues in my team.;9
1896;2022-01-01;2100-0001;I can always trust the colleagues in my team.;8
1897;2022-01-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1898;2022-01-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1899;2022-01-01;2100-0001;After work, I'm exhausted in the evening.;3
1900;2022-01-01;2100-0001;I'm often working under time pressure.;3
1901;2022-01-01;2100-0001;I have a really interesting  job.;7
1902;2022-01-01;2100-0001;Most of the time I enjoy going to work.;7
1903;2022-01-01;2100-0001;I'm often bored at work.;2
1904;2022-01-01;2100-0001;If I could, I would like to change careers.;1
1905;2022-01-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1906;2022-01-01;2100-0001;I can always trust the colleagues in my team.;7
1907;2022-01-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1908;2022-01-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1909;2022-01-01;2100-0001;After work, I'm exhausted in the evening.;1
1910;2022-01-01;2100-0001;I'm often working under time pressure.;2
1911;2022-01-01;2100-0001;I have a really interesting  job.;6
1912;2022-01-01;2100-0001;Most of the time I enjoy going to work.;6
1913;2022-01-01;2100-0001;I'm often bored at work.;1
1914;2022-01-01;2100-0001;If I could, I would like to change careers.;1
1915;2022-01-01;2100-0001;I'm satisified with the relations between colleagues in my team.;9
1916;2022-01-01;2100-0001;I can always trust the colleagues in my team.;8
1917;2022-01-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1918;2022-01-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1919;2022-01-01;2100-0001;After work, I'm exhausted in the evening.;2
1920;2022-01-01;2100-0001;I'm often working under time pressure.;3
1921;2022-01-01;2100-0001;I have a really interesting  job.;10
1922;2022-01-01;2100-0001;Most of the time I enjoy going to work.;8
1923;2022-01-01;2100-0001;I'm often bored at work.;3
1924;2022-01-01;2100-0001;If I could, I would like to change careers.;2
1925;2022-01-01;2100-0001;I'm satisified with the relations between colleagues in my team.;8
1926;2022-01-01;2100-0001;I can always trust the colleagues in my team.;9
1927;2022-01-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1928;2022-01-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1929;2022-01-01;2100-0001;After work, I'm exhausted in the evening.;1
1930;2022-01-01;2100-0001;I'm often working under time pressure.;2
1931;2022-01-01;2100-0001;I have a really interesting  job.;9
1932;2022-01-01;2100-0001;Most of the time I enjoy going to work.;10
1933;2022-01-01;2100-0001;I'm often bored at work.;3
1934;2022-01-01;2100-0001;If I could, I would like to change careers.;3
1935;2022-01-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1936;2022-01-01;2100-0001;I can always trust the colleagues in my team.;7
1937;2022-01-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1938;2022-01-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
1939;2022-01-01;2100-0001;After work, I'm exhausted in the evening.;1
1940;2022-01-01;2100-0001;I'm often working under time pressure.;1
1941;2022-04-01;2100-0001;I have a really interesting  job.;9
1942;2022-04-01;2100-0001;Most of the time I enjoy going to work.;9
1943;2022-04-01;2100-0001;I'm often bored at work.;2
1944;2022-04-01;2100-0001;If I could, I would like to change careers.;2
1945;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;9
1946;2022-04-01;2100-0001;I can always trust the colleagues in my team.;8
1947;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1948;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1949;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;2
1950;2022-04-01;2100-0001;I'm often working under time pressure.;2
1951;2022-04-01;2100-0001;I have a really interesting  job.;7
1952;2022-04-01;2100-0001;Most of the time I enjoy going to work.;6
1953;2022-04-01;2100-0001;I'm often bored at work.;3
1954;2022-04-01;2100-0001;If I could, I would like to change careers.;3
1955;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;7
1956;2022-04-01;2100-0001;I can always trust the colleagues in my team.;8
1957;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
1958;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1959;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;1
1960;2022-04-01;2100-0001;I'm often working under time pressure.;2
1961;2022-04-01;2100-0001;I have a really interesting  job.;9
1962;2022-04-01;2100-0001;Most of the time I enjoy going to work.;7
1963;2022-04-01;2100-0001;I'm often bored at work.;3
1964;2022-04-01;2100-0001;If I could, I would like to change careers.;2
1965;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;9
1966;2022-04-01;2100-0001;I can always trust the colleagues in my team.;9
1967;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
1968;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1969;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;2
1970;2022-04-01;2100-0001;I'm often working under time pressure.;2
1971;2022-04-01;2100-0001;I have a really interesting  job.;8
1972;2022-04-01;2100-0001;Most of the time I enjoy going to work.;8
1973;2022-04-01;2100-0001;I'm often bored at work.;1
1974;2022-04-01;2100-0001;If I could, I would like to change careers.;3
1975;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;10
1976;2022-04-01;2100-0001;I can always trust the colleagues in my team.;7
1977;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1978;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
1979;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;3
1980;2022-04-01;2100-0001;I'm often working under time pressure.;3
1981;2022-04-01;2100-0001;I have a really interesting  job.;9
1982;2022-04-01;2100-0001;Most of the time I enjoy going to work.;10
1983;2022-04-01;2100-0001;I'm often bored at work.;2
1984;2022-04-01;2100-0001;If I could, I would like to change careers.;2
1985;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
1986;2022-04-01;2100-0001;I can always trust the colleagues in my team.;6
1987;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1988;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1989;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;1
1990;2022-04-01;2100-0001;I'm often working under time pressure.;1
1991;2022-04-01;2100-0001;I have a really interesting  job.;6
1992;2022-04-01;2100-0001;Most of the time I enjoy going to work.;8
1993;2022-04-01;2100-0001;I'm often bored at work.;3
1994;2022-04-01;2100-0001;If I could, I would like to change careers.;1
1995;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;8
1996;2022-04-01;2100-0001;I can always trust the colleagues in my team.;7
1997;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
1998;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
1999;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;3
2000;2022-04-01;2100-0001;I'm often working under time pressure.;2
2001;2022-04-01;2100-0001;I have a really interesting  job.;9
2002;2022-04-01;2100-0001;Most of the time I enjoy going to work.;10
2003;2022-04-01;2100-0001;I'm often bored at work.;3
2004;2022-04-01;2100-0001;If I could, I would like to change careers.;2
2005;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
2006;2022-04-01;2100-0001;I can always trust the colleagues in my team.;9
2007;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
2008;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
2009;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;1
2010;2022-04-01;2100-0001;I'm often working under time pressure.;2
2011;2022-04-01;2100-0001;I have a really interesting  job.;7
2012;2022-04-01;2100-0001;Most of the time I enjoy going to work.;9
2013;2022-04-01;2100-0001;I'm often bored at work.;3
2014;2022-04-01;2100-0001;If I could, I would like to change careers.;3
2015;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;9
2016;2022-04-01;2100-0001;I can always trust the colleagues in my team.;6
2017;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
2018;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;1
2019;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;3
2020;2022-04-01;2100-0001;I'm often working under time pressure.;3
2021;2022-04-01;2100-0001;I have a really interesting  job.;10
2022;2022-04-01;2100-0001;Most of the time I enjoy going to work.;8
2023;2022-04-01;2100-0001;I'm often bored at work.;2
2024;2022-04-01;2100-0001;If I could, I would like to change careers.;2
2025;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;9
2026;2022-04-01;2100-0001;I can always trust the colleagues in my team.;10
2027;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;3
2028;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
2029;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;1
2030;2022-04-01;2100-0001;I'm often working under time pressure.;3
2031;2022-04-01;2100-0001;I have a really interesting  job.;8
2032;2022-04-01;2100-0001;Most of the time I enjoy going to work.;10
2033;2022-04-01;2100-0001;I'm often bored at work.;2
2034;2022-04-01;2100-0001;If I could, I would like to change careers.;3
2035;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;6
2036;2022-04-01;2100-0001;I can always trust the colleagues in my team.;8
2037;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
2038;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
2039;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;1
2040;2022-04-01;2100-0001;I'm often working under time pressure.;3
2041;2022-04-01;2100-0001;I have a really interesting  job.;7
2042;2022-04-01;2100-0001;Most of the time I enjoy going to work.;6
2043;2022-04-01;2100-0001;I'm often bored at work.;1
2044;2022-04-01;2100-0001;If I could, I would like to change careers.;1
2045;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;8
2046;2022-04-01;2100-0001;I can always trust the colleagues in my team.;8
2047;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;1
2048;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;3
2049;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;3
2050;2022-04-01;2100-0001;I'm often working under time pressure.;3
2051;2022-04-01;2100-0001;I have a really interesting  job.;7
2052;2022-04-01;2100-0001;Most of the time I enjoy going to work.;6
2053;2022-04-01;2100-0001;I'm often bored at work.;1
2054;2022-04-01;2100-0001;If I could, I would like to change careers.;2
2055;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;7
2056;2022-04-01;2100-0001;I can always trust the colleagues in my team.;10
2057;2022-04-01;2100-0001;It would not bother me if some colleagues of my team would be replaced.;2
2058;2022-04-01;2100-0001;It's sometimes difficult to remain a good relation to all colleagues.;2
2059;2022-04-01;2100-0001;After work, I'm exhausted in the evening.;2
2060;2022-04-01;2100-0001;I'm often working under time pressure.;1
2061;2022-04-01;2100-0001;I have a really interesting  job.;7
2062;2022-04-01;2100-0001;Most of the time I enjoy going to work.;10
2063;2022-04-01;2100-0001;I'm often bored at work.;1
2064;2022-04-01;2100-0001;If I could, I would like to change careers.;3
2065;2022-04-01;2100-0001;I'm satisified with the relations between colleagues in my team.;7
